transportationId,outletId,transportType,title,duration,cost,tip,status,displayOrder
taipei-main-station-to-mitsui-outlet-park-linkou,mitsui-outlet-park-linkou,train,A1 Taipei Main Station → A9 Linkou Station,Approx. 40–50 min,"TWD 75 (adult, one way)","Board Airport MRT Commuter at A1 Taipei Main Station; alight at A9 Linkou Station. Follow the pedestrian signs to the outlet entrance. Use a Commuter train that stops at A9. Express trains skip A9; if already on an Express, change at A8 to a Commuter train heading to A9. From A9, allow 5–10 minutes to walk to the outlet; follow signs for the correct building. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,11
myeongdong-to-yeoju-premium-outlets,yeoju-premium-outlets,bus,Myeongdong → Yeoju Premium Outlets,Approx. 110–140 min,"Approx. KRW 8,000–10,000 (adult, one way)","Board Line 4 at Myeongdong; alight at Chungmuro. Transfer: Board Line 3 at Chungmuro; alight at Express Bus Terminal. Transfer: Board Yeoju Premium Outlets express at Seoul Express Bus Terminal — Platform 29; alight at Yeoju Premium Outlets. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,12
hongik-university-to-yeoju-premium-outlets,yeoju-premium-outlets,bus,Hongik University → Yeoju Premium Outlets,Approx. 100–130 min,"Approx. KRW 8,000–10,000 (adult, one way)","Board Line 2 at Hongik University; alight at Dangsan. Transfer: Board Line 9 at Dangsan; alight at Express Bus Terminal. Transfer: Board Yeoju Premium Outlets express at Seoul Express Bus Terminal — Platform 29; alight at Yeoju Premium Outlets. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,13
gangnam-to-yeoju-premium-outlets,yeoju-premium-outlets,bus,Gangnam → Yeoju Premium Outlets,Approx. 100–130 min,"Approx. KRW 8,000–10,000 (adult, one way)","Board Line 2 at Gangnam; alight at Gyodae. Transfer: Board Line 3 at Gyodae; alight at Express Bus Terminal. Transfer: Board Yeoju Premium Outlets express at Seoul Express Bus Terminal — Platform 29; alight at Yeoju Premium Outlets. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,14
hongik-university-to-paju-premium-outlets,paju-premium-outlets,bus,Hongik University — Exit 1 → Paju Premium Outlets,Approx. 65–90 min,"Approx. KRW 3,200–3,400 (adult, one way)","Board 2200 at Hongik University — Exit 1; alight at Paju Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,15
myeongdong-to-paju-premium-outlets,paju-premium-outlets,bus,Myeongdong → Paju Premium Outlets,Approx. 95–125 min,"Approx. KRW 4,500–6,000 (adult, one way)","Board Line 4 at Myeongdong; alight at Seoul Station. Transfer: Board AREX (all-stop) at Seoul Station; alight at Hongik University — Exit 1. Transfer: Board 2200 at Hongik University — Exit 1; alight at Paju Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,16
incheon-airport-to-paju-premium-outlets,paju-premium-outlets,bus,Incheon Airport — T1/T2 airport bus area → Paju Premium Outlets,Approx. 120–165 min,"Approx. KRW 20,200–22,000 (adult, one way)","Board 6002 at Incheon Airport — T1/T2 airport bus area; alight at Hapjeong / Holt Children’s Welfare Society. Transfer: Board 2200 at Hapjeong; alight at Paju Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,17
bujeon-to-busan-premium-outlets,busan-premium-outlets,train,Bujeon → Busan Premium Outlets,Approx. 75–105 min,"Approx. KRW 3,500–5,000 (adult, one way)","Board Donghae Line at Bujeon; alight at Jwacheon. Transfer: Board 302 at Jwacheon; alight at Busan Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,18
haeundae-to-busan-premium-outlets,busan-premium-outlets,bus,Haeundae Beach → Busan Premium Outlets,Approx. 80–110 min,"Approx. KRW 3,500–5,500 (adult, one way)","Board 1003 at Haeundae Beach; alight at Gijang Telephone Office. Transfer: Board 8 at Gijang Telephone Office; alight at Busan Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,19
gimhae-airport-to-busan-premium-outlets,busan-premium-outlets,bus,Gimhae Airport → Busan Premium Outlets,Approx. 130–165 min,"Approx. KRW 4,000–6,500 (adult, one way)","Board 307 at Gimhae Airport; alight at Dongnae. Transfer: Board 3008 at Dongnae; alight at Busan Premium Outlets. Follow the pedestrian signs to the outlet entrance. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,20
kl-sentral-to-genting-highlands-premium-outlets,genting-highlands-premium-outlets,bus,KL Sentral — Lower Ground Floor bus counter → Awana Bus Terminal,Approx. 60–90 min,"MYR 10 (adult, one way)",Board Genting Express at KL Sentral — Lower Ground Floor bus counter; alight at Awana Bus Terminal. Follow the pedestrian signs to the outlet entrance. Walk from Awana Bus Terminal to the outlet in the same mid-hill complex. A cable-car ticket is not needed for this visit. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,21
klia-to-genting-highlands-premium-outlets,genting-highlands-premium-outlets,bus,KLIA Terminal 1 / Terminal 2 bus counter → Awana Bus Terminal,Approx. 120–180 min,"MYR 35 (adult, one way)",Board Genting Express at KLIA Terminal 1 / Terminal 2 bus counter; alight at Awana Bus Terminal. Follow the pedestrian signs to the outlet entrance. Walk from Awana Bus Terminal to the outlet in the same mid-hill complex. A cable-car ticket is not needed for this visit. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,22
kuala-lumpur-to-genting-highlands-premium-outlets-taxi,genting-highlands-premium-outlets,taxi,Kuala Lumpur city centre → Genting Highlands Premium Outlets — Awana,Approx. 45–90 min,"Approx. MYR 90–150 (per vehicle, one way)","Board Taxi / ride-hailing at Kuala Lumpur city centre; alight at Genting Highlands Premium Outlets — Awana. Follow the pedestrian signs to the outlet entrance. Indicative price per vehicle; tolls, waiting and surge pricing may be extra. Obtain a confirmed quote before boarding. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,23
narita-airport-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,bus,Narita International Airport to Shisui Premium Outlets by direct bus,Approx. 15–20 min,JPY 500 one way adult,"At Narita Airport Terminal 2, use the 1F No.3 bus stop; at Terminal 1, use the 1F No.30 bus stop. Board the direct bus for Shisui Premium Outlets. Pay JPY 500 one way; contactless credit-card payment is available on the official service. Ride approximately 20 minutes directly to Shisui Premium Outlets. Confirm the current timetable before travel because seats cannot be reserved.",active,1
tokyo-station-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,bus,Tokyo Station to Shisui Premium Outlets by direct bus,Approx. 50 min; traffic may affect travel time,"JPY 1,300 one way adult","Go to Bus Terminal Tokyo Yaesu, bus stop A02. Board the direct bus for Shisui Premium Outlets. Pay JPY 1,300 one way adult fare. Ride approximately 50 minutes directly to the outlet. Confirm the current timetable before travel because seats cannot be reserved.",active,2
sannomiya-to-kobe-sanda-premium-outlets-direct-bus,kobe-sanda-premium-outlets,bus,Sannomiya Station to Kobe-Sanda Premium Outlets by direct Shinki Bus,Approx. 50 min; some services may take longer,JPY 700 one way adult; JPY 350 child,Go to Shinki Bus Kobe-Sannomiya Bus Terminal. Board the direct Shinki Bus for Kobe-Sanda Premium Outlets. Pay JPY 700 one way for an adult or JPY 350 for a child. Ride approximately 50 minutes; some services may operate via intermediate points. Alight at Kobe-Sanda Premium Outlets and confirm the current return timetable before shopping.,active,3
kansai-airport-to-kobe-sanda-premium-outlets-bus,kobe-sanda-premium-outlets,bus,Kansai International Airport to Kobe-Sanda Premium Outlets via Kobe Sannomiya,Approx. 2 hr - 2 hr 20 min including transfer; traffic and connection time vary,"Approx. JPY 2,900 one way adult","At Kansai International Airport, board the Airport Limousine Bus for Kobe Sannomiya. The airport limousine segment takes approximately 65 minutes and costs JPY 2,200 one way adult. At Kobe Sannomiya, transfer to the Shinki Bus for Kobe-Sanda Premium Outlets. The outlet bus takes approximately 50 minutes and costs JPY 700 one way adult. Allow transfer time and confirm both current timetables before travel.",active,4
tokyo-station-to-sano-premium-outlets-direct-bus,sano-premium-outlets,bus,Tokyo Station to Sano Premium Outlets by direct Marronnier highway bus,Approx. 90 min; traffic may affect travel time,"JPY 1,600 one way adult","Go to the JR highway-bus boarding area at Tokyo Station Yaesu South Exit. Board the Marronnier Tokyo highway bus for Sano Shintoshin Bus Terminal. Pay JPY 1,600 one way adult fare. Ride approximately 90 minutes to Sano Shintoshin Bus Terminal; traffic may affect travel time. From the bus terminal, walk approximately 3 minutes to Sano Premium Outlets.",active,5
haneda-airport-to-sano-premium-outlets-direct-bus,sano-premium-outlets,bus,Haneda Airport to Sano Premium Outlets by direct Marronnier airport bus,"Approx. 2 hr; service, terminal and traffic conditions may vary","JPY 4,600 one way adult; JPY 2,300 child","At Haneda Airport, use the current Marronnier airport-bus boarding point for your terminal. Board the direct Kanto Bus / Airport Limousine service for Sano Shintoshin Bus Terminal. Pay JPY 4,600 one way for an adult or JPY 2,300 for a child. Allow approximately 2 hours; scheduled journey time varies by terminal and service and traffic may cause delays. Alight at Sano Shintoshin Bus Terminal and walk approximately 3 minutes to Sano Premium Outlets.",active,6
rinku-premium-outlets-rinku-town-walk,rinku-premium-outlets,walk,Walk from Rinku Town Station,Approx. 6–10 min,Free,Follow pedestrian signs from Rinku Town Station. Walking time varies with the entrance used and luggage.,active,1
rinku-premium-outlets-kansai-airport-train,rinku-premium-outlets,train,Train from Kansai International Airport to Rinku Town,Approx. 5–10 min on a direct local/airport service; timetable varies,Approximately JPY 370 one way; confirm the current fare,"Take a train that stops at Rinku Town, then walk to the outlet. Confirm the operator, stopping pattern, fare and timetable on the travel day.",active,2
rinku-premium-outlets-car,rinku-premium-outlets,car,Car / On-site Parking,Varies by origin and traffic,"Parking charges, tolls, fuel and rental costs vary",On-site parking is available. Confirm current parking charges and busy-period arrangements; airport and coastal-road traffic can affect travel time.,active,3
gotemba-premium-outlets-tokyo-bus,gotemba-premium-outlets,bus,Direct highway bus from Tokyo Station,Approx. 1 hr 40 min; timetable and traffic vary,"JPY 1,900–2,200 one way when booked in advance depending on day/service; same-day purchase +JPY 100; onboard fare JPY 2,500","Depart from Tokyo Station Yaesu South Exit. This is a direct service; advance reservation is recommended. Weekend, holiday and specific-day pricing differs.",active,1
gotemba-premium-outlets-shinjuku-bus,gotemba-premium-outlets,bus,Direct highway bus from Shinjuku,Approx. 1 hr 40–1 hr 50 min; timetable and traffic vary,"JPY 1,900–2,200 one way on JR Bus depending on day/service; Odakyu Bus JPY 2,000 one way; same-day/onboard conditions vary",Depart from Shinjuku Highway Bus Terminal. No transfer is required; advance reservation is recommended.,active,2
gotemba-premium-outlets-jr-gotemba-shuttle,gotemba-premium-outlets,shuttle,Free shuttle from JR Gotemba Station,Approx. 10–20 min; traffic varies,Free,"From Otomeguchi Exit, normal departures are at :00, :15, :30 and :45. Travel is about 5–10 min to Tomei Gotemba IC plus 5–10 min onward. Outlet returns depart at :10, :25, :40 and :55; confirm the day's first and last buses.",active,3
gotemba-premium-outlets-car,gotemba-premium-outlets,car,Car / Free Parking,Varies by origin and traffic,"Parking is free; tolls, fuel and rental costs vary","Parking is officially free. Overflow/off-site parking may be used on weekends, holidays and crowded days. Traffic can be heavy during sales and peak periods.",active,4
mitsui-outlet-park-kisarazu-tokyo-bus,mitsui-outlet-park-kisarazu,bus,Direct express bus from Tokyo Station,Approx. 50 min; traffic varies,"JPY 1,500 one way adult; JPY 750 child","Use the direct bus between Bus Terminal Tokyo Yaesu / Tokyo Station Yaesu area and Mitsui Outlet Park Kisarazu. Current fare is JPY 1,500 adult / JPY 750 child. Traffic on the Tokyo Bay Aqua-Line can affect journey time.",active,1
mitsui-outlet-park-kisarazu-shinjuku-bus,mitsui-outlet-park-kisarazu,bus,Direct express bus from Shinjuku,Approx. 62 min; traffic varies,"JPY 1,600 one way adult; JPY 800 child",Use the direct service from Busta Shinjuku / Shinjuku Expressway Bus Terminal. Traffic can affect travel time.,active,2
mitsui-outlet-park-kisarazu-haneda-bus,mitsui-outlet-park-kisarazu,bus,Direct airport bus from Haneda Airport,Approx. 25–40 min depending on terminal/service; traffic varies,"JPY 1,400 one way adult; JPY 700 child","Direct Keikyu/Kominato airport-bus service. Terminal-specific journey time varies: roughly 25 minutes from Terminal 1, 30 minutes from Terminal 2 and 40 minutes from Terminal 3 on representative services.",active,3
mitsui-outlet-park-kisarazu-sodegaura-bus,mitsui-outlet-park-kisarazu,bus,Local bus from JR Sodegaura Station,Approx. 10 min; traffic varies,JPY 200 cash / JPY 199 IC one way adult,Use the local bus from Sodegaura Station North Exit. PASMO/Suica-compatible IC fare is currently JPY 199; cash fare JPY 200.,active,4
mitsui-outlet-park-kisarazu-kisarazu-station-bus,mitsui-outlet-park-kisarazu,bus,Local bus from JR Kisarazu Station,Approx. 20 min; traffic varies,JPY 360 cash / JPY 356 IC one way adult,Use the local bus from Kisarazu Station West Exit. PASMO/Suica-compatible IC fare is currently JPY 356; cash fare JPY 360.,active,5
mitsui-outlet-park-kisarazu-car,mitsui-outlet-park-kisarazu,car,Car / Free Parking,Varies by origin and traffic,"Parking is free; expressway tolls, fuel and rental costs vary",The outlet is approximately 1 km from Kisarazu Kaneda IC on the Tokyo Bay Aqua-Line and about 4.5 km from Sodegaura IC from the Chiba side. Aqua-Line congestion can materially affect travel time.,active,6
shanghai-village-metro,shanghai-village,metro,Metro Line 11 + Resort Shuttle Bus 1,Origin dependent,Origin dependent,Use Exit 4 at Disney Resort Station.,active,1
shanghai-village-taxi,shanghai-village,taxi,Central Shanghai taxi / ride-hailing,Approx. 45 min,Metered/app fare,Set 88 Shendi East Road as the destination.,active,2
shanghai-village-pvg,shanghai-village,taxi,PVG taxi / ride-hailing,Approx. 20 min,Metered/app fare,Traffic affects time and fare.,active,3
barberino-car,barberino,car,Car via A1 motorway,≈30–40 min from Florence by car,Varies by route and provider,Official directions list A1 motorway access at the Barberino exit; keep traffic-dependent car timing as an estimate and use the official route link before departure.,active,1
barberino-parking,barberino,car,Free parking at the outlet,On site,Free parking,Official McArthurGlen services list free parking at Barberino Designer Outlet; follow centre signage on arrival.,active,2
barberino-shuttle,barberino,bus,Shuttle from Firenze Santa Maria Novella,30 min from Firenze Santa Maria Novella,From €13 one-way; check official ticket details,"Official Barberino and Trenitalia Outlet Link information lists a non-stop 30-minute shuttle from Firenze Santa Maria Novella, with three daily round trips; verify the current seasonal departures before travel.",active,3
barberino-train-shuttle,barberino,train,Train to Firenze SMN + outlet shuttle,Train to Firenze SMN + 30 min Outlet Link bus,Check Trenitalia combined ticket,"Trenitalia officially sells Barberino Outlet Link as a train plus non-stop bus connection from Firenze Santa Maria Novella; fare varies by rail origin, so price the combined ticket in Trenitalia channels.",active,4
barberino-private-transfer,barberino,taxi,Private transfer from hotel,≈30–45 min from Florence (estimated),Confirm with Infopoint,Official information lists hotel pick-up private transfer reservations through the outlet Infopoint; confirm availability before travel.,active,5
barberino-airport,barberino,airport,Florence Airport via Florence SMN shuttle,≈15-25 min airport to Firenze SMN + 30 min outlet shuttle (estimated),Airport tram/bus fare + official shuttle fare,"Use official Florence Airport ground transport to reach Firenze Santa Maria Novella, then use the official Barberino shuttle/Outlet Link; no dedicated airport-to-outlet shuttle is published.",active,6
castel-romano-car,castel-romano,car,Car from Rome,About 30 min from Rome,Varies by route and provider,Official McArthurGlen information positions Castel Romano Designer Outlet about 30 minutes from Rome; follow official directions to Via Ponte di Piscina Cupa.,active,1
castel-romano-parking,castel-romano,car,Free parking at the outlet,On site,Free parking,Official services list free parking at Castel Romano Designer Outlet; follow parking signage on arrival.,active,2
castel-romano-shuttle,castel-romano,bus,Shuttle from Termini or EUR Fermi,"Termini departures 09:30, 10:30, 11:30, 12:30; EUR Fermi departures 10:00, 11:00, 12:00, 13:00",€18 return from Termini or €13 return from EUR Fermi; free under 10,"Official McArthurGlen/Cilia shuttle information lists daily departures from Termini and EUR Fermi, with return departures from Castel Romano from 16:30; verify same-day service on the official page.",active,3
castel-romano-train-bus,castel-romano,train,Trenitalia train + bus Outlet Link,≈30–45 min bus segment from Roma Termini (estimated),Check Trenitalia combined fare,"Trenitalia officially lists Castel Romano Designer Outlet Link as a train plus bus service from Roma Termini, with buses departing from Via Giolitti 48.",active,4
castel-romano-airport,castel-romano,airport,Rome airports via Termini/EUR or road transfer,≈25-40 min by car from Fiumicino or Ciampino; airport rail/bus + outlet shuttle via Rome (estimated),Confirm airport train/bus plus outlet shuttle or taxi fare,"Use official Rome airport ground transport to reach Termini/EUR for the official outlet shuttle, or book an airport taxi/transfer; no dedicated airport-to-outlet shuttle is published.",active,5
fidenza-coach,fidenza-village,bus,Coach service from Milan,1 hr 30 min from Milan Piazza della Repubblica,€10 adult; €5 children 5–11; free infants 0–4,"The official Shopping Express page lists a 9:45 departure from Milan and 11:15 arrival at Fidenza Village, returning 17:00 to 18:30; book on the official channel.",active,1
fidenza-car,fidenza-village,car,Car via A1 motorway,About 60 min from Milan or Bologna; about 20 min from Parma,Varies by route and provider,"Official destination information places Fidenza Village near the A1 Milan-Bologna motorway at Fidenza/Salsomaggiore Terme, with access from Milan, Bologna and Parma.",active,2
fidenza-parking,fidenza-village,car,On-site parking,On site,Free parking,Use the official Village directions and on-site signage for the complimentary parking areas; confirm any special parking arrangements with Guest Services.,active,3
fidenza-train,fidenza-village,train,Train to Fidenza station + local transfer,≈60–90 min from Milan or Bologna by rail; last-mile transfer varies (estimated),Check official Trenitalia fare; last-mile fare varies,"Use official Trenitalia services to Fidenza station, then confirm the current local bus, taxi or Village transfer option with official local transport or Concierge before travelling.",active,4
fidenza-private-transfer,fidenza-village,taxi,Private chauffeur transfer,≈60 min from Milan or Bologna (estimated),Confirm with Concierge,Fidenza Village officially offers chauffeur booking via Concierge with at least 24 hours' notice; provide transfer details when reserving.,active,5
fidenza-airport,fidenza-village,airport,Milan/Bologna airports by car or rail + coach,"≈60-90 min by car from Milan Linate, Malpensa or Bologna airports (estimated)","Confirm airport rail, coach, taxi or transfer fare",Use official airport ground transport to reach Milan for the official Shopping Express or continue by rail/car; no dedicated airport-to-village shuttle is published.,active,6
la-reggia-car,la-reggia,car,Car via A1 Caserta Sud,≈20–30 min from Naples; ≈15 min from Caserta,Varies by route and provider,Official McArthurGlen information says La Reggia is adjacent to the A1 motorway at Caserta Sud and about 20 minutes from Naples; check traffic before departure.,active,1
la-reggia-parking,la-reggia,car,Free parking at the outlet,On site,Free parking,"Official services list more than 3,000 free parking spaces at La Reggia Designer Outlet.",active,2
la-reggia-public-transport,la-reggia,bus,Public transport via Naples or Caserta,≈35–50 min from Naples; ≈20–30 min from Caserta (estimated),≈€3–8 (estimated),McArthurGlen lists public transport for La Reggia but does not publish current route details or fares on the access page; use the official local transport provider timetable before travelling.,active,3
la-reggia-shuttle,la-reggia,shuttle,Shuttle service from Naples,Naples departures around 10:00 and 15:30 by stop; return about 19:00,Confirm with official booking provider,"McArthurGlen's access page lists a Naples shuttle service; current booking pages list Naples pickup points including Municipio, Piazza Vittoria, Molo Beverello and Naples Central Station. Confirm times, fare and operating dates before travel.",active,4
la-reggia-train-bus,la-reggia,train,Train to Caserta + official outlet bus link,≈75–90 min from Naples by train + bus (estimated),Check Trenitalia/official local transport fare,Use official rail to Caserta and the officially referenced public-transport/Outlet Link connection toward La Reggia; verify current bus departures and ticketing before travel.,active,5
