guideId,outletId,originType,mode,provider,line,boardingPoint,destination,estimatedDurationMin,estimatedDurationMax,estimatedFareMin,estimatedFareMax,currency,fareAccuracy,sourceNote,officialCheckNote,confidence,officialProviderUrl,operator,alightingPoint,suppressDerivedDurationFallback,transferPoints,displayDuration,walkNote,displayFare,checkedAt,sourceUrls,fareUnit
designer-outlet-athens-metro-bus,designer-outlet-athens,cityCenter,metro,OASA,Metro Line 3 → Bus 319,Syntagma,Designer Outlet Athens,,,1.2,2.4,EUR,estimated,Official outlet directions and OASA Telematics support STASY Metro Line 3 from Syntagma to Doukissis Plakentias followed by OSY Bus 319 to the real Εκπτωτικό Χωριό stop. One EUR 1.20 standard adult 90-minute ticket covers both modes when completed within validity; the EUR 2.40 upper endpoint allows a second standard ticket if required. Travel to Syntagma and free final pedestrian access are excluded.,Confirm Bus 319 service to Εκπτωτικό Χωριό in OASA Telematics and whether one 90-minute ticket remains valid for the complete journey.,exact,https://telematics.oasa.gr/,STASY / OSY,Εκπτωτικό Χωριό,true,"[""Doukissis Plakentias""]",,Final pedestrian access from the officially published Εκπτωτικό Χωριό stop is free and excluded.,,,,
bucharest-center-to-fashion-house-militari-car,fashion-house-outlet-centre-bucharest,cityCenter,taxi,Licensed Bucharest taxi / private hire,,Piața Unirii,"Fashion House Outlet Centre Militari, Strada Comerțului 7-13, Domnești",,,55,74,RON,estimated,"The official outlet address supports an approximately 21 km route from Piața Unirii to West Park Militari, with reasonable routing variation up to approximately 23 km. The current licensed-provider tariff range is RON 2.59–3.19/km: Speed Taxi publishes RON 2.89–3.19/km and Meridian Taxi publishes RON 2.59/km standard and RON 2.89/km Plus. The displayed daytime distance-based range is therefore RON 55 (21 × 2.59, rounded up) to RON 74 (23 × 3.19, rounded up). No motorway toll is expected or included. Waiting, traffic-related meter time, night charges, weekend variation, booking fees, luggage charges and other supplements may increase the actual fare beyond the displayed estimate; none is included in the upper endpoint, and free outlet parking is excluded.","Confirm the current Speed Taxi or Meridian Taxi per-kilometre tariff, route distance and supplements before departure.",partial,https://www.speedtaxi.ro/get/,,,true,,,,,,,
bucharest-centre-to-fashion-house-pallady-licensed-taxi,fashion-house-outlet-centre-pallady,cityCenter,taxi,Licensed Bucharest taxi / private hire,,Piața Unirii,"Fashion House Outlet Centre Pallady, A2 km 15, Cernica, Ilfov",,,70,96,RON,estimated,"The official outlet address supports an approximately 27 km route from Piața Unirii to A2 km 15, Cernica, with reasonable routing variation up to approximately 30 km. The current licensed-provider tariff range is RON 2.59–3.19/km: Speed Taxi publishes RON 2.89–3.19/km and Meridian Taxi publishes RON 2.59/km standard and RON 2.89/km Plus. The displayed daytime distance-based range is therefore RON 70 (27 × 2.59, rounded up) to RON 96 (30 × 3.19, rounded up). No motorway toll is expected or included. Waiting, traffic-related meter time, night charges, weekend variation, booking fees, luggage charges and other supplements may increase the actual fare beyond the displayed estimate; none is included in the upper endpoint, and free outlet parking is excluded.","Confirm the current Speed Taxi or Meridian Taxi per-kilometre tariff, A2 access, route distance and supplements before departure.",partial,https://www.speedtaxi.ro/get/,,,true,,,,,,,
copenhagen-to-ringsted-outlet-train-bus,ringsted-outlet,cityCenter,train,DSB / Rejseplanen,,København H,Ringsted Designer Outlet,,,100,150,DKK,estimated,"Official DSB, Rejseplanen and outlet directions support rail from København H to Ringsted Station followed by a Movia local bus. Because the official outlet lists several routes across service periods, no single line or fabricated outlet stop is stored; Rejseplanen must select the current documented itinerary. The DKK 100–150 adult one-way range covers the complete selected train-and-bus journey after København H without double-counting through-ticket validity; travel to København H and final walking are excluded.","Use Rejseplanen to confirm the current Movia line, direction, documented alighting stop, through-ticket validity and complete adult fare for Klosterparks Allé before boarding.",partial,https://www.rejseplanen.dk/,DSB / Movia,,true,"[""Ringsted Station""]",,The Rejseplanen-selected final stop and pedestrian access to Klosterparks Allé vary with the operating local service; the final walk is free and excluded from the fare.,,,,
tampere-to-ideapark-lempaala-outlet-bus,ideapark-lempaala-outlet,cityCenter,bus,Nysse,50 toward Lempäälä / Ideapark,"Koskipuisto, Tampere",Ideapark Lempäälä,,,4.7,5.5,EUR,estimated,"Official Nysse line, zone and fare information supports Koiviston Auto Tampere Oy Line 50 from Koskipuisto to Ideapark in Zone C, requiring ABC validity from central Tampere. The EUR 4.70–5.50 adult one-way range reflects the current applicable contactless/mobile and advance-ticket purchase products; it covers the bus after the stored Tampere origin and excludes upstream travel and final walking.","Confirm Line 50 toward Lempäälä / Ideapark, the Koskipuisto platform, ABC validity and the current adult purchase-method price in Nysse.",exact,https://www.nysse.fi/en/tickets-and-fares/single-ticket.html,Koiviston Auto Tampere Oy,Ideapark,true,,,Pedestrian access from the Ideapark stop to the selected entrance is free and excluded.,,,,
gothenburg-to-hede-fashion-outlet-train-walk,hede-fashion-outlet,cityCenter,train,Västtrafik,Commuter train toward Kungsbacka,Göteborg Central,Hede Fashion Outlet,,,111,111,SEK,exact,"Official Västtrafik route and single-ticket information supports the Västtågen commuter train from Göteborg Central toward Kungsbacka, Hede station, required ABC validity and the SEK 111 paying-adult single ticket. The fare covers only Göteborg Central–Hede; airport travel and the final walk are excluded.","Confirm the Kungsbacka direction, Hede stop and current ABC adult single-ticket price on the official Västtrafik ticket page before travel.",exact,https://www.vasttrafik.se/en/Tickets/single-tickets/,Västtågen,Hede station,true,,,The walk from Hede station to Hede Fashion Outlet is free and excluded from the fare.,,,,
oslo-to-norwegian-outlet-train-walk,norwegian-outlet,cityCenter,train,Ruter / Vy,R21 toward Moss,Oslo S,Oslo Fashion Outlet,,,120,160,NOK,estimated,"Official Ruter/Vy planning supports the R21 rail journey from Oslo S to Vestby station. No unidentified local bus or fabricated outlet stop is asserted. The NOK 120–160 adult range covers the paid Oslo S–Vestby rail journey with the required Ruter zones; it excludes travel to Oslo S, the free final walk and any optional licensed taxi. The outlet's direct free shuttle is seasonal, including 6 July–15 August 2026, so it remains secondary.","Confirm R21 operation, the required Ruter zones and adult fare, and assess the walk or separately priced licensed taxi from Vestby station before travel.",partial,https://ruter.no/en/journey-planner/,Vy,Vestby station,true,,,The last mile from Vestby station is a free pedestrian route; a licensed local taxi is an optional separately priced fallback and is not included in the rail fare.,,,,
tallinn-center-to-t1-outlet-tram,t1-tallinn-outlet,cityCenter,metro,Tallinn public transport,Tram 4 toward Suur-Paala,Viru / central Tallinn,T1 Tallinn,,,2,2,EUR,exact,"Official Tallinn transport information supports Tram 4 from central Tallinn toward its current Suur-Paala terminal and the Ülemiste jaam stop. The exact EUR 2 non-resident adult one-hour ticket covers the tram after the stored central origin; resident free-travel eligibility is not used, and final walking is excluded.","Confirm Tram 4 toward Suur-Paala, Ülemiste jaam and the current EUR 2 non-resident adult one-hour ticket in the official planner before boarding.",exact,https://transport.tallinn.ee/,Tallinna Linnatransport,Ülemiste jaam,true,,,The short walk from Ülemiste jaam to T1 is free and excluded.,,,,
riga-to-via-jurmala-outlet-village-bus,via-jurmala-outlet-village,cityCenter,bus,Rīgas satiksme,4 toward Piņķi,Abrenes iela,Via Jurmala Outlet Village,,,1.15,1.15,EUR,exact,Official Rīgas satiksme information supports a direct Bus 4 journey from Abrenes iela to the real Piņķi stop. The exact EUR 1.15 ordinary adult one-trip ticket covers that single bus without a transfer; the EUR 1.50 90-minute product is not required. Upstream travel and final walking are excluded.,"Confirm Bus 4 toward Piņķi, the Abrenes iela stand, Piņķi stop and the current one-trip adult ticket before boarding.",exact,https://www.rigassatiksme.lv/en/tickets-and-e-ticket/types-and-prices-of-tickets/ticket-for-a-certain-number-of-trips/,Rīgas satiksme,Piņķi,true,,,The pedestrian connection from the official Piņķi stop to Via Jurmala Outlet Village is free and excluded.,,,,
vilnius-center-to-outlet-park-vilnius-bus,outlet-park-vilnius,cityCenter,bus,JUDU,5 toward Žirmūnai,Žaliasis tiltas,Outlet Park / Ogmios Miestas,,,1.25,1.25,EUR,exact,"The official JUDU route and tariff information supports Bus 5 from Žaliasis tiltas toward Žirmūnai, the Verkių st. stop and the exact EUR 1.25 adult 60-minute/contactless fare. The fare covers the stored public-transport journey only; travel to Žaliasis tiltas and final walking are excluded.","Confirm Bus 5 toward Žirmūnai, Verkių st. service and the current adult 60-minute/contactless price in JUDU before travel.",exact,https://judu.lt/en/for-public-transport-passengers/ticket-types-and-prices/,Vilnius public transport,Verkių st.,true,,,The final walk from Verkių st. into the shopping area is free and excluded.,,,,
kildare-village-dublin-heuston-train-shuttle,kildare-village,cityCenter,train,Irish Rail / Kildare Village,Dublin Heuston–Kildare,Dublin Heuston,Kildare Village,35,35,10,20,EUR,estimated,"Official Kildare Village guidance supports the approximately 35-minute Irish Rail segment from Dublin Heuston to Kildare. The complimentary station shuttle is date- and announcement-dependent, not a guaranteed daily transfer. The EUR 10–20 adult one-way estimate covers only the variable Irish Rail fare after Dublin Heuston; travel to Heuston, any scheduled complimentary shuttle and final walking are excluded, while an optional licensed taxi is separately priced.","Confirm the Irish Rail departure and adult fare, check the official Village shuttle announcement for the travel date, and use the walking route or a licensed local taxi when no shuttle is scheduled.",partial,https://www.thebicestercollection.com/kildare-village/en/getting-here/train,Iarnród Éireann,Kildare Station,true,,35 min rail segment,"When officially scheduled, the station shuttle is complimentary; otherwise walking or a separately priced licensed local taxi is available. No shuttle or final-walk charge is included in the rail fare.",,,,
warsaw-centre-to-factory-ursus-train-walk,factory-ursus,cityCenter,train,Warszawski Transport Publiczny / Koleje Mazowieckie,S1 / regional rail toward Ursus,Warszawa Śródmieście,Factory Ursus,,,4.4,7,PLN,estimated,"The official Factory Ursus access information identifies the Ursus location, while official WTP and Koleje Mazowieckie journey information supports suburban rail from Warszawa Śródmieście to the Ursus-area stations. The estimated adult one-way PLN 4.40–7 range covers the valid Warsaw public-transport or regional-rail ticket from the stored central-Warsaw origin; it excludes the free final walk and does not add any journey taken before Warszawa Śródmieście.","Confirm the operator, destination station, zone validity and current adult fare in the official WTP or Koleje Mazowieckie planner before boarding.",partial,https://www.wtp.waw.pl/rozklady-jazdy/,SKM Warszawa / Koleje Mazowieckie,Warszawa Ursus Północny / Warszawa Ursus,true,,,The final walk from the selected Ursus station to Factory Ursus is free and excluded from the fare.,,,,
warsaw-centre-to-factory-annopol-metro-tram,factory-annopol,cityCenter,metro,Warszawski Transport Publiczny,M2 toward Bródno,Świętokrzyska,Factory Annopol,,,4.4,4.4,PLN,exact,"Factory Annopol's official information places the centre about 600 m from Bródno station and describes the M2 trip from central Warsaw. The exact adult one-way PLN 4.40 fare is the current Zone 1 WTP ticket and covers the journey from the stored central-Warsaw origin to Bródno, without double-counting metro, tram or bus validity; the final walk is free and excluded.",Confirm the M2 service and select a currently valid WTP adult ticket for the complete paid journey before travel.,exact,https://www.wtp.waw.pl/rozklady-jazdy/,Metro Warszawskie,Bródno,true,,,The approximately 600 m walk from Bródno to Factory Annopol is free and excluded from the fare; a separate tram or bus is not required by the stored primary route.,,,,
wroclaw-city-to-wroclaw-fashion-outlet-tram-bus,wroclaw-fashion-outlet,cityCenter,bus,Wrocław public transport,106 / 107 / 119 / 132 / 319,Wrocław city centre / Wrocław Główny,Wrocław Fashion Outlet,,,4.6,7,PLN,estimated,"The official outlet access information identifies Mińska (Rondo Rotm. Pileckiego) as the stop for lines 106, 107, 119, 132 and 319. The conservative adult one-way PLN 4.60–7 range covers the complete MPK urban-transit journey after the stored city-centre origin, including a valid transfer where the planner requires one; it excludes the free final pedestrian connection.","Use the official Wrocław planner to confirm the current city-centre boarding stop, the Mińska (Rondo Rotm. Pileckiego) service, direction, any transfer and adult ticket validity for the travel time.",partial,https://www.wroclaw.pl/komunikacja/rozklad-jazdy,MPK Wrocław,Mińska (Rondo Rotm. Pileckiego),true,,,The final pedestrian connection from the official outlet-area stop is free and excluded from the fare.,,,,
gdansk-wrzeszcz-to-designer-outlet-gdansk-bus,designer-outlet-gdansk,station,bus,ZTM Gdańsk,115 toward Jaworzniaków,Wrzeszcz PKP,Designer Outlet Gdańsk,,,4.8,4.8,PLN,exact,Designer Outlet Gdańsk's official directions list bus 115 from Wrzeszcz PKP and the Czermińskiego stop. The exact adult one-way PLN 4.80 standard single fare covers only that ZTM Gdańsk bus journey from the stored Wrzeszcz origin; upstream rail and the free final walk are excluded.,"Confirm the current Wrzeszcz PKP platform, Jaworzniaków direction, Czermińskiego stop and adult ticket price in the official ZTM timetable.",exact,https://ztm.gda.pl/rozklady/linia-115.html,Gdańskie Autobusy i Tramwaje,Czermińskiego,true,,,The final walk from Czermińskiego is free and excluded; upstream rail to Gdańsk Wrzeszcz is outside this journey.,,,,
katowice-to-designer-outlet-sosnowiec-bus,designer-outlet-sosnowiec,cityCenter,bus,ZTM GZM,A / E / J,Katowice city centre,Designer Outlet Sosnowiec,,,4.6,7,PLN,estimated,"The official outlet directions list ZTM GZM buses A, E and J and the Sosnowiec Jęzor Centrum Handlowe stop. The conservative adult one-way PLN 4.60–7 range covers the complete integrated regional bus journey from the stored Katowice origin, including a planner-required transfer without double-counting; the final walk is free and excluded.","Confirm which of A, E or J serves the selected Katowice stop, whether a transfer is required, and the applicable current adult time ticket in the official ZTM GZM planner.",partial,https://rj.metropoliaztm.pl/,,Sosnowiec Jęzor Centrum Handlowe,true,,,The final walk from Sosnowiec Jęzor Centrum Handlowe is free and excluded from the fare.,,,,
warsaw-wilanowska-to-designer-outlet-warszawa-bus,designer-outlet-warszawa,station,bus,Warszawski Transport Publiczny,709 / 727 toward Piaseczno,Metro Wilanowska,Designer Outlet Warszawa,,,7,7,PLN,exact,Designer Outlet Warszawa's official directions list buses 709 and 727 from Metro Wilanowska to Energetyczna. The exact adult one-way PLN 7 fare is the current Zone 1+2 90-minute WTP ticket and covers only the public-transport journey from the stored Wilanowska origin with the required zone validity; travel to Wilanowska and the free final walk are excluded.,"Confirm the current Metro Wilanowska boarding stand, Piaseczno direction, Energetyczna stop, zone validity and adult ticket price in the official WTP timetable.",exact,https://www.wtp.waw.pl/rozklady-jazdy/,,Energetyczna,true,,,The final walk from Energetyczna is free and excluded; travel used to reach Metro Wilanowska is outside this journey.,,,,
brussels-to-maasmechelen-train-bus,maasmechelen-village,cityCenter,train,NMBS/SNCB / De Lijn,Brussels → Genk,Brussels,Maasmechelen Village,,,15,30,EUR,estimated,The official Village page directs visitors to Genk by rail and then De Lijn Line 45 to Maasmechelen Village. The estimated total fare range conservatively combines a variable Brussels–Genk rail fare with the official local-bus fare component; check current NMBS/SNCB and De Lijn prices before travel.,,partial,https://www.thebicestercollection.com/maasmechelen-village/en/visit/getting-here,NMBS/SNCB / De Lijn,Genk,true,"[""45 → Maasmechelen Village""]",,,,,,
designer-outlet-luxembourg-train-bus,designer-outlet-luxembourg,cityCenter,train,CFL / SNCB / TEC,Luxembourg → Arlon,Luxembourg,Designer Outlet Luxembourg,,,8,15,EUR,estimated,"The official outlet directs visitors from Luxembourg to Arlon by train and then to the Messancy Outlet stop by TEC Lines 16 or 20. The estimated total range allows for the cross-border rail ticket and current TEC fare; check current CFL, SNCB and TEC prices before travel.",,exact,https://www.designeroutletluxembourg.com/en/directions,CFL / SNCB / TEC,Arlon,true,"[""16 / 20 → Messancy Outlet""]",,,,,,
salzburg-city-to-designer-outlet-salzburg-bus,designer-outlet-salzburg,cityCenter,bus,Salzburg Verkehr,2,Salzburg Hauptbahnhof,Designer Outlet Salzburg,,,3,5,EUR,estimated,The official outlet publishes Bus Line 2 from Salzburg Hauptbahnhof via Mirabellplatz to its DOC Himmelreich stop. The estimated fare range covers a current single local-bus ticket without treating an older fare as fixed; check Salzburg Verkehr prices before travel.,,exact,https://www.mcarthurglen.com/en/outlets/at/designer-outlet-salzburg/services/,Salzburg Verkehr,DOC Himmelreich,true,,,,,,,
foxtown-lugano-train,foxtown-factory-stores,cityCenter,train,SBB / TILO,Lugano → Mendrisio S. Martino,Lugano,FoxTown Factory Stores,,,8,15,CHF,estimated,Official Ticino tourism information publishes a direct station connection between Mendrisio S. Martino and FoxTown. The estimated CHF 8–15 range preserves the repository's verified pre-completion Lugano rail estimate; check the current SBB/TILO price before travel.,,partial,https://www.ticino.ch/en/commons/details/FoxTown-Factory-Stores/87292.html,SBB / TILO,Mendrisio S. Martino,true,,,Mendrisio S. Martino station is directly connected to the FoxTown extension.,,,,
landquart-zurich-train,landquart-fashion-outlet,cityCenter,train,SBB,Zürich HB → Landquart,Zürich HB,Landquart Fashion Outlet,,,20,45,CHF,estimated,The official outlet publishes direct station adjacency and approximately one rail hour from Zurich. The conservative fare range allows for current SBB ticket and reduction-card variation; check the journey price and do not present the rail indication as a verified door-to-door duration.,,exact,https://www.landquartfashionoutlet.ch/en/neue-parkplatzsituation-beim-landquart-fashion-outlet,SBB,Landquart,true,,,Landquart Fashion Outlet is directly next to Landquart railway station.,,,,
fashion-fish-zurich-train,fashion-fish-factory-outlet,cityCenter,train,SBB,Zürich HB → Schönenwerd,Zürich HB,FASHION FISH,,,15,35,CHF,estimated,The official FASHION FISH journey page places the outlet directly next to Schönenwerd station. The conservative fare range allows for current SBB ticket and reduction-card variation; check the Zürich HB journey price before travel.,,partial,https://www.fashionfish.ch/en/outlet/how-to-find-us,SBB,Schönenwerd,true,,,FASHION FISH is directly next to Schönenwerd station.,,,,
lisbon-to-freeport-lisboa-shuttle,freeport-lisboa-fashion-outlet,shuttle,shuttle,Freeport Outlet Shuttle,,Marquês de Pombal,Freeport Lisboa Fashion Outlet,,,14,20,EUR,estimated,The official outlet publishes a return shuttle sold through the Cityrama kiosk at Marquês de Pombal and on board. The estimated range starts at the repository's previously verified €14 return price and allows for a current-price change; check the official fare and return departure before travel.,,exact,https://www.freeportfashionoutlet.pt/en/news-next/shuttle-en,Cityrama,,true,,,,,,,
porto-to-vila-do-conde-fashion-outlet-metro,vila-do-conde-porto-fashion-outlet,cityCenter,metro,Metro do Porto,B,Trindade,Vila do Conde Porto Fashion Outlet,,,3,5,EUR,estimated,The official outlet publishes direct access from its VC Fashion Outlet–Modivas station on Metro do Porto Line B. The estimated range conservatively covers the required Andante journey from Trindade; check the current zone fare before travel.,,exact,https://www.viladocondefashionoutlet.pt/en/sustainable,Metro do Porto,VC Fashion Outlet–Modivas,true,,,The outlet has direct pedestrian access from the VC Fashion Outlet–Modivas station.,,,,
amsterdam-to-roermond-train,designer-outlet-roermond,cityCenter,train,NS,Amsterdam Centraal → Roermond,Amsterdam Centraal,Designer Outlet Roermond,,,25,35,EUR,estimated,The estimated EUR 25–35 range conservatively covers the variable NS rail ticket from Amsterdam Centraal to Roermond; the separate walk to the outlet is free. Check the current NS journey price before travel.,,exact,https://www.mcarthurglen.com/en/outlets/nl/designer-outlet-roermond/plan-your-visit/,NS,Roermond,true,,,Roermond station is approximately 15 minutes on foot from Designer Outlet Roermond.,,,,
rotterdam-to-roosendaal-train-bus,designer-outlet-roosendaal,cityCenter,train,NS / Bravo,Rotterdam Centraal → Roosendaal,Rotterdam Centraal,Designer Outlet Roosendaal,,,15,20,EUR,estimated,Current Bravo route information lists Line 161 between Roosendaal Station and Designer Outlet Roosendaal. The estimated EUR 15–20 total range conservatively covers the NS rail and Bravo bus components; check both current operator prices before travel.,,exact,https://bravo.info/dienstregeling-buslijnen-regio-roosendaal,NS / Bravo,Roosendaal,true,"[""161 → Designer Outlet Roosendaal""]",,,,,,
